Child,Parent
33242,3324
332420,33242
33243,3324
332431,33243
332439,33243
3325,332
33251,3325
332510,33251
3326,332
33261,3326
332613,33261
332618,33261
3327,332
33271,3327
332710,33271
33272,3327
332721,33272
332722,33272
3328,332
33281,3328
332811,33281
332812,33281
332813,33281
3329,332
33291,3329
332911,33291
332912,33291
332913,33291
332919,33291
33299,3329
332991,33299
332992,33299
332993,33299
332994,33299
332996,33299
332999,33299
333,31-33
3331,333
33311,3331
333111,33311
333112,33311
33312,3331
333120,33312
33313,3331
333131,33313
333132,33313
3332,333
33324,3332
333241,33324
333242,33324
333243,33324
333244,33324
333249,33324
3333,333
33331,3333
333314,33331
333316,33331
333318,33331
3334,333
33341,3334
333413,33341
333414,33341
333415,33341
3335,333
33351,3335
333511,33351
333514,33351
333515,33351
333517,33351
333519,33351
3336,333
33361,3336
333611,33361
333612,33361
333613,33361
333618,33361
3339,333
33391,3339
333911,33391
333912,33391
333913,33391
33392,3339
333921,33392
333922,33392
333923,33392
333924,33392
33399,3339
333991,33399
333992,33399
333993,33399
333994,33399
333995,33399
333996,33399
333997,33399
333999,33399
334,31-33
3341,334
33411,3341
334111,33411
334112,33411
334118,33411
3342,334
33421,3342
334210,33421
33422,3342
334220,33422
33429,3342
334290,33429
3343,334
33431,3343
334310,33431
3344,334
33441,3344
334412,33441
334413,33441
334416,33441
334417,33441
334418,33441
334419,33441
3345,334
33451,3345
334510,33451
334511,33451
334512,33451
334513,33451
334514,33451
334515,33451
334516,33451
334517,33451
334519,33451
3346,334
33461,3346
334613,33461
334614,33461
335,31-33
3351,335
33511,3351
335110,33511
33512,3351
335121,33512
335122,33512
335129,33512
3352,335
33521,3352
335210,33521
33522,3352
335221,33522
335222,33522
335224,33522
335228,33522
3353,335
33531,3353
335311,33531
335312,33531
335313,33531
335314,33531
3359,335
33591,3359
335911,33591
335912,33591
33592,3359
335921,33592
335929,33592
33593,3359
335931,33593
335932,33593
33599,3359
335991,33599
335999,33599
336,31-33
3361,336
33611,3361
336111,33611
336112,33611
33612,3361
336120,33612
3362,336
33621,3362
336211,33621
336212,33621
336213,33621
336214,33621
3363,336
33631,3363
336310,33631
33632,3363
336320,33632
33633,3363
336330,33633
33634,3363
336340,33634
33635,3363
336350,33635
33636,3363
336360,33636
33637,3363
336370,33637
33639,3363
336390,33639
3364,336
33641,3364
336411,33641
336412,33641
336413,33641
336414,33641
336415,33641
336419,33641
3365,336
33651,3365
336510,33651
3366,336
33661,3366
336611,33661
336612,33661
3369,336
33699,3369
336991,33699
336992,33699
336999,33699
337,31-33
3371,337
33711,3371
337110,33711
33712,3371
337121,33712
337122,33712
337124,33712
337125,33712
337127,33712
3372,337
33721,3372
337211,33721
337212,33721
337214,33721
337215,33721
3379,337
33791,3379
337910,33791
33792,3379
337920,33792
339,31-33
3391,339
33911,3391
339112,33911
339113,33911
339114,33911
339115,33911
339116,33911
3399,339
33991,3399
339910,33991
33992,3399
339920,33992
33993,3399
339930,33993
33994,3399
339940,33994
33995,3399
339950,33995
33999,3399
339991,33999
339992,33999
339993,33999
339994,33999
339995,33999
339999,33999
42,1
423,42
4231,423
42311,4231
423110,42311
42312,4231
423120,42312
42313,4231
423130,42313
42314,4231
423140,42314
4232,423
42321,4232
423210,42321
42322,4232
423220,42322
4233,423
42331,4233
423310,42331
42332,4233
423320,42332
42333,4233
423330,42333
42339,4233
423390,42339
4234,423
42341,4234
423410,42341
42342,4234
423420,42342
42343,4234
423430,42343
42344,4234
423440,42344
42345,4234
423450,42345
42346,4234
423460,42346
42349,4234
423490,42349
4235,423
42351,4235
423510,42351
42352,4235
423520,42352
4236,423
42361,4236
423610,42361
42362,4236
423620,42362
42369,4236
423690,42369
4237,423
42371,4237
423710,42371
42372,4237
423720,42372
42373,4237
423730,42373
42374,4237
423740,42374
4238,423
42381,4238
423810,42381
42382,4238
423820,42382
42383,4238
423830,42383
42384,4238
423840,42384
42385,4238
423850,42385
42386,4238
423860,42386
4239,423
42391,4239
423910,42391
42392,4239
423920,42392
42393,4239
423930,42393
42394,4239
423940,42394
42399,4239
423990,42399
424,42
4241,424
42411,4241
424110,42411
42412,4241
424120,42412
42413,4241
424130,42413
4242,424
42421,4242
424210,42421
4243,424
42431,4243
424310,42431
42432,4243
424320,42432
42433,4243
424330,42433
42434,4243
424340,42434
4244,424
42441,4244
424410,42441
42442,4244
424420,42442
42443,4244
424430,42443
42444,4244
424440,42444
42445,4244
424450,42445
42446,4244
424460,42446
42447,4244
424470,42447
42448,4244
424480,42448
42449,4244
424490,42449
4245,424
42451,4245
424510,42451
42452,4245
424520,42452
42459,4245
424590,42459
4246,424
42461,4246
424610,42461
42469,4246
424690,42469
4247,424
42471,4247
424710,42471
42472,4247
424720,42472
4248,424
42481,4248
424810,42481
42482,4248
424820,42482
4249,424
42491,4249
424910,42491
42492,4249
424920,42492
42493,4249
424930,42493
42494,4249
424940,42494
42495,4249
424950,42495
42499,4249
424990,42499
425,42
4251,425
42511,4251
425110,42511
42512,4251
425120,42512
44-45,1
441,44
4411,441
44111,4411
441110,44111
44112,4411
441120,44112
4412,441
44121,4412
441210,44121
44122,4412
441222,44122
441228,44122
4413,441
44131,4413
441310,44131
44132,4413
441320,44132
442,44
4421,442
44211,4421
442110,44211
4422,442
44221,4422
442210,44221
44229,4422
442291,44229
442299,44229
443,44
4431,443
44314,4431
443141,44314
443142,44314
444,44
4441,444
44411,4441
444110,44411
44412,4441
444120,44412
44413,4441
444130,44413
44419,4441
444190,44419
4442,444
44421,4442
444210,44421
44422,4442
444220,44422
445,44
4451,445
44511,4451
445110,44511
44512,4451
445120,44512
4452,445
44521,4452
445210,44521
44522,4452
445220,44522
44523,4452
445230,44523
44529,4452
445291,44529
445292,44529
445299,44529
4453,445
44531,4453
445310,44531
446,44
4461,446
44611,4461
446110,44611
44612,4461
446120,44612
44613,4461
446130,44613
44619,4461
446191,44619
446199,44619
447,44
4471,447
44711,4471
447110,44711
44719,4471
447190,44719
448,44
4481,448
44811,4481
448110,44811
44812,4481
448120,44812
44813,4481
448130,44813
44814,4481
448140,44814
44815,4481
448150,44815
44819,4481
448190,44819
4482,448
44821,4482
448210,44821
4483,448
44831,4483
448310,44831
44832,4483
448320,44832
451,45
4511,451
45111,4511
451110,45111
45112,4511
451120,45112
45113,4511
451130,45113
45114,4511
451140,45114
4512,451
45121,4512
451211,45121
451212,45121
452,45
4521,452
45211,4521
452111,45211
452112,45211
4529,452
45291,4529
452910,45291
45299,4529
452990,45299
453,45
4531,453
45311,4531
453110,45311
4532,453
45321,4532
453210,45321
45322,4532
453220,45322
4533,453
45331,4533
453310,45331
4539,453
45391,4539
453910,45391
45392,4539
453920,45392
45393,4539
453930,45393
45399,4539
453991,45399
453998,45399
454,45
4541,454
45411,4541
454111,45411
454112,45411
454113,45411
4542,454
45421,4542
454210,45421
4543,454
45431,4543
454310,45431
45439,4543
454390,45439
48-49,1
481,48
4811,481
48111,4811
481111,48111
481112,48111
4812,481
48121,4812
481211,48121
481212,48121
481219,48121
482,48
4821,482
48211,4821
482111,48211
482112,48211
483,48
4831,483
48311,4831
483111,48311
483112,48311
483113,48311
483114,48311
4832,483
48321,4832
483211,48321
483212,48321
484,48
4841,484
48411,4841
484110,48411
48412,4841
484121,48412
484122,48412
4842,484
48421,4842
484210,48421
48422,4842
484220,48422
48423,4842
484230,48423
485,48
4851,485
48511,4851
485111,48511
485112,48511
485113,48511
485119,48511
4852,485
48521,4852
485210,48521
4853,485
48531,4853
485310,48531
48532,4853
485320,48532
4854,485
48541,4854
485410,48541
4855,485
48551,4855
485510,48551
4859,485
48599,4859
485991,48599
485999,48599
486,48
4861,486
48611,4861
486110,48611
4862,486
48621,4862
486210,48621
4869,486
48691,4869
486910,48691
48699,4869
486990,48699
487,48
4871,487
48711,4871
487110,48711
4872,487
48721,4872
487210,48721
4879,487
48799,4879
487990,48799
488,48
4881,488
48811,4881
488111,48811
488119,48811
48819,4881
488190,48819
4882,488
48821,4882
488210,48821
4883,488
48831,4883
488310,48831
48832,4883
488320,48832
48833,4883
488330,48833
48839,4883
488390,48839
4884,488
48841,4884
488410,48841
48849,4884
488490,48849
4885,488
48851,4885
488510,48851
4889,488
48899,4889
488991,48899
488999,48899
491,49
4911,491
49111,4911
491110,49111
492,49
4921,492
49211,4921
492110,49211
4922,492
49221,4922
492210,49221
493,49
4931,493
49311,4931
493110,49311
49312,4931
493120,49312
49313,4931
493130,49313
49319,4931
493190,49319
51,1
511,51
5111,511
51111,5111
511110,51111
51112,5111
511120,51112
51113,5111
511130,51113
51114,5111
511140,51114
51119,5111
511191,51119
511199,51119
5112,511
51121,5112
511210,51121
512,51
5121,512
51211,5121
512110,51211
51212,5121
512120,51212
51213,5121
512131,51213
512132,51213
51219,5121
512191,51219
512199,51219
5122,512
51221,5122
512210,51221
51222,5122
512220,51222
51223,5122
512230,51223
51224,5122
512240,51224
51229,5122
512290,51229
515,51
5151,515
51511,5151
515111,51511
515112,51511
51512,5151
515120,51512
5152,515
51521,5152
515210,51521
517,51
5171,517
51711,5171
517110,51711
5172,517
51721,5172
517210,51721
5174,517
51741,5174
517410,51741
5179,517
51791,5179
517911,51791
517919,51791
518,51
5182,518
51821,5182
518210,51821
519,51
5191,519
51911,5191
519110,51911
51912,5191
519120,51912
51913,5191
519130,51913
51919,5191
519190,51919
52,1
521,52
5211,521
52111,5211
521110,52111
522,52
5221,522
52211,5221
522110,52211
52212,5221
522120,52212
52213,5221
522130,52213
52219,5221
522190,52219
5222,522
52221,5222
522210,52221
52222,5222
522220,52222
52229,5222
522291,52229
522292,52229
522293,52229
522294,52229
522298,52229
5223,522
52231,5223
522310,52231
52232,5223
522320,52232
52239,5223
522390,52239
523,52
5231,523
52311,5231
523110,52311
52312,5231
523120,52312
52313,5231
523130,52313
52314,5231
523140,52314
5232,523
52321,5232
523210,52321
5239,523
52391,5239
523910,52391
52392,5239
523920,52392
52393,5239
523930,52393
52399,5239
523991,52399
523999,52399
524,52
5241,524
52411,5241
524113,52411
524114,52411
52412,5241
524126,52412
524127,52412
524128,52412
52413,5241
524130,52413
5242,524
52421,5242
524210,52421
52429,5242
